,Id,Sentiment,Instagram Comment Text,text_clean
105,106,negative,"Kalau ga suka sama ayu ting ting ga usah separah itu dong ngejudge nya. Punya HATI dan OTAK kan? Dia juga manusia punya kekurangan dan juga punya kelebihan dan dia juga punya perasaan. Jadi jangan seenak nya menjudge orang seperti itu, kaya udah SEMPURNA AJA LO!  <USERNAME>",ga suka ayu ting ting ga parah ngejudge hati otak manusia kurang lebih rasa enak menjudge orang kaya sempurna lo
106,107,negative,"Ga pantes dipanggil ustad..org munafik ceramah sana sini org kelakuan sndr aja menzolimi istri sah nya dgn poligami diam2.kacian istri pertamanya,ga tw malu istri keduanya.. hadeh klo ada yg msh manggil dia bwt ceramah namanya bodo..",ga pantes panggil ustadorg munafik ceramah org laku sndr menzolimi istri sah dgn poligami diamkacian istri pertamanyaga tw malu istri hadeh klo msh manggil bwt ceramah nama bodo
107,108,negative,Biadab!! Klo nanti anak lo di bully.. Gue mampusin ya!!!,biadab klo anak lo bully mampusin
108,109,negative,"Dasar ANJING tuh cowok bukan org, berani sama cowok biasa one by one jangan sama yg lemah, dasar yah cowok2 jaman skrg, casing doank cowok, nyali nya lebih2 dari banci",dasar anjing tuh cowok org berani cowok one by one lemah dasar yah cowok jaman skrg casing doank cowok nyali banci
109,110,negative," <USERNAME> iya kasian si micin?? padahal perusahan produk micin mengiklan kan kalo masak ""tambahkan micin biar tambah sedap"" netizen menyudutkan mecin seolah semua kebodohan orang yg punya gangguan jiwa ngemil micin??#justiceformicin",kasi micin usah produk micin iklan kalo masak tambah micin biar sedap netizen sudut mecin bodoh orang ganggu jiwa ngemil micinjusticeformicin
110,111,negative,Wahh jngn2 ini Vidio lama...kok bajunya norak bngtt seorang ayuu...terlihat murahaan,wahh jngn vidio lamakok baju norak bngtt ayuuterlihat murahaan
111,112,negative, <USERNAME> bego lo ya,bego lo
112,113,negative,Editan banget itu. Ya ampun si mommy lambe kehabisan gosib ya buat si pelakor ?????????,edit ampun mommy lambe habis gosib pelakor
113,114,negative,yah admin nya termasuk golongan pengonsumsi mecin dan pil pcc.. otak lu rusak min?,yah admin golong konsumsi mecin pil pcc otak lu rusak min
114,115,negative,cuma org govlok yg prcya ayu slgkuh sma rafi.buktinya rafi sma gigi skrg baek2 aja..dan ktamu ayu itu pelakor?? SUAMI Siapa yg d rebut woyy?? skrg ayu punya suami?? fikir pke otak mkanya jgn kbanyakan micin kan jdi govlok,org govlok prcya ayu slgkuh sma rafibuktinya rafi sma gigi skrg baek ajadan ktamu ayu pelakor suami d rebut woyy skrg ayu suami fikir pke otak mkanya jgn kbanyakan micin jdi govlok
115,116,negative, <USERNAME> hoy barisan sakit hati ?? jijikk banget.. fans billy mah ALHAMDULILLAH bgt billy putus sama manusiaa buluk ituu... itu yg ditunggu lama2 akhiry putus juga.. dan sekarang kobil jg jijik sama ni orang :v,hoy baris sakit hati jijikk fans billy bgt billy putus manusiaa buluk ituu tunggu akhiry putus kobil jg jijik ni orang v
116,117,negative,"MBA  <USERNAME> KALAU KAMU GAK NGERASA CINLOK SAMA BABANG ANTHONY TERUS KALIAN AWALNYA KETEMU DIMANA SIH? DI SINET BOY KAN? ALAH NGAKU AJAAA. BERARTI KAN MBA DUMANG CINLOK, JANGAN SOK2 BILANG GAK CINLOK ITU NAMANYA PEMBODOHAN . WAJAR DONG NETIZEN BILANG RATU CINLOK KENYATAAN EMANG YA KAN? JANGAN MARAH .... RESIKO JADI ARTIS HAHAHHAA PINTER2 YA MBA KALAU MAU CARI ALASAN HAHAHAHAHA",gak ngerasa cinlok babang anthony ketemu set boy alah ngaku ajaaa dumang cinlok sok bilang gak cinlok nama bodoh wajar netizen bilang ratu cinlok nyata marah resiko artis hahahhaa pinter cari alas hahahahaha
117,118,negative," <USERNAME> Noh urus tu kuin lu, biar ga gatel nempel2 ama laki orng, masyarakat udh tau kali japok gundik janda gatel,udh kenyataan nya begtu KATANYA ANAK SHOLEHAH AGAMA NYA KUAT TAPI MATA KULIAH AGAMA CMA DPT 1,KATANYA AGAMA NYA KUAT TPI HAMIL DI LUAR",noh urus tu kuin lu biar ga gatel nempel ama laki orng masyarakat udh tau japok gundik janda gateludh nyata begtu anak sholehah agama kuat mata kuliah agama cma dpt agama kuat tpi hamil
118,119,negative," <USERNAME> bilang tu sama kuin lu, jangan gesek grepe ama lakik orng, ga malu apa udh hamil di luar nikah, kegatelan amat jadi janda",bilang tu kuin lu gesek grepe ama lakik orng ga malu udh hamil nikah kegatelan janda
119,120,negative," <USERNAME> please lo jangan bela pelakor,ini semua hukuman untuk si muljem karna uda tega recut suami sahabat sendiri,dia lagi menjalani sanksi sosialnya!! kenapa valakor mesti dibenci?? karna biar ga ada valakor"" lainnya di Indonesia,biar musnah sem",please lo bela pelakorini hukum muljem karna uda tega recut suami sahabat sendiridia jalan sanksi sosial valakor benci karna biar ga valakor indonesiabiar musnah sem
120,121,negative,"NAJIS. INI BARU MUAKK, MENJIJIKAN, PELAKOR. JIJIK",najis muakk jijik pelakor jijik
121,122,negative,Semoga pelakor2 kena karma dan semoga dapat karma yg meninggalkan istrinya yg bwrjuang dg dia dr nol tp setelah sukses selingkuh dan sok jd penguasa ke istri ya..,moga pelakor kena karma moga karma tinggal istri bwrjuang dg dr nol tp sukses selingkuh sok jd kuasa istri
122,123,negative,Sedih ya skrg ngamen di kawinan org .. mantan istri mahhhh naik pesawat jet .. bhay pelakor n botakbego ??????,sedih skrg ngamen kawin org mantan istri mahhhh pesawat jet bhay pelakor n botakbego
123,124,negative, <USERNAME> heeehh lo pelakornya yaaaakkk??? Ngapa lo jadi emosi??? Situuu kenal gw??? Kalo berani pake akun asli dong. Pantes pake akun bodong! Ngerebut laki orang juga diem2. ?????????? keceplosan yak pake aku bodong. Ngakak gueeee ?????????? lucu lo!,heeehh lo pelakornya yaaaakkk ngapa lo emosi situuu kenal gw kalo berani pake akun asli pantes pake akun bodong ngerebut laki orang diem ceplos yak pake bodong ngakak gueeee lucu lo
124,125,negative,Wkwkwkwk udh gak laku lagi jd nyanyi dhajatan si lonte pelakor,wkwkwkwk udh gak laku jd nyanyi dhajatan lonte pelakor
125,126,negative," <USERNAME> wakakak banyak lah cerita kyk gituu, buat pembelajaran aja.. jgn sampe ni swamik swamik lebih milih ke pelakor drpd istri pertama. Bakalan hancuuurr bookk ga bohong deh. Bakalan kere bakalan kismin bakalan nyungsep. Emang yg ngatur rezeki tu tuha",wakakak cerita kyk gituu ajar jgn sampe ni swamik swamik pelakor drpd istri hancuuurr bookk ga bohong deh kere kismin nyungsep ngatur rezeki tu tuha
126,127,negative,Ini cwenya yg bego apa cwonya yg pinter ya ?! Emg lakinya kaya ?! Atau macho atau apa gitu plus nya ? Kayanya cuma jago gombal ?? atau maennya gesit ?! Ulala #ngakakabis,cwenya bego cwonya pinter emg laki kaya macho plus kaya jago gombal maennya gesit ulala ngakakabis
127,128,negative, <USERNAME> kamu itu yg bodoh! Ngapain keluarga depok komen org yg gak ada artinya lagi buat mereka??. ..cuma kalian aja yg hidupnya gak bahagia yg suka menghujat orang dan hidup artis ayu terlalu berpengaruh buat kamu!!. Emang dasar kamu benci ayu..klo,bodoh ngapain keluarga depok komen org gak hidup gak bahagia suka hujat orang hidup artis ayu pengaruh dasar benci ayuklo
128,129,negative, <USERNAME> saya mah lihat yg terlihat jelas.. bukan main prasangka kayak elu.elu itu haters kayak dukun...dukun titisan dajjal .. sok Pinter tapi otak kosong?????? sorry ye.. gue bala Nabi Muhammad yg percaya klo udh ditunjukkin 4 saksi Dan bukti.. klo,lihat main prasangka kayak eluelu haters kayak dukundukun titis dajjal sok pinter otak kosong sorry ye bala nabi muhammad percaya klo udh ditunjukkin saksi bukti klo
129,130,negative,Mata ku sepet baca koment fans ubul empang ..minggir woy bikin rusuh aja nih jaer amis jijik sumpah.soal enji sm cewek lain ttp aja bala jaer nyampah bikin ribut .,mata ku sepet baca koment fans ubul empang minggir woy bikin rusuh nih jaer amis jijik sumpahsoal enji sm cewek ttp bala jaer nyampah bikin ribut
130,131,negative,"Ini siapa sih si enji, hartis kah ? Males banget jijik laki model beginian mah gak ada tanggung jwbnya. Ayu bunting di tinggalin anak gak di akuin, skrg anak udh nongol bilqis cantek eh sampek bini nya ngeposting yg seolah enji kangen anaknya. Najonggg jijik betoll.. Dah deh min gak usah di bahas lagi laki macam begini, hartis aja bukan gak ada panutan yg bisa di ambil  <USERNAME>",enji hartis kah males jijik laki model gak tanggung jwbnya ayu bunting tinggalin anak gak akuin skrg anak udh nongol bilqis cantek eh sampek bini ngeposting enji kangen anak najonggg jijik betoll dah deh min gak bahas laki hartis gak panutan ambil
131,132,negative," <USERNAME> bego nya lagi pede amat ngomong seolah yg dia bilang paling bener, padahal bukti aja kaga ada. Mau keliatan pinter jatohnya bego??",bego pede ngomong bilang bener bukti kaga liat pinter jatohnya bego
132,133,negative,Yang pada bilang enji ganteng bebas slingkuh bego kali. Ganteng pala lu bau menyan. Gada ganteng ganteng nya. Kebanyakan gaya kek mantan bini depok nya.,bilang enji ganteng bebas slingkuh bego ganteng pala lu bau menyan gada ganteng ganteng banyak gaya kek mantan bini depok
133,134,negative,"Sebenarnye cocok enji sama att, sama sama GATEEEEL hahah pantesan si tongtong dipertemukan dgn enji, udh hukum alam klw jodoh kita cerminan diri kita, nah si entong hrsnya bekaca dgn masa lalu biar sadar tp teryata otak 1 M tetep mau di pertahankan jd skrg mlh menjadi jadi guatelnye, sama aja kek enji, hah",sebenarnye cocok enji att gateeeel hahah pantesan tongtong temu dgn enji udh hukum alam klw jodoh cermin entong hrsnya bekaca dgn biar sadar tp teryata otak m tetep tahan jd skrg mlh guatelnye kek enji hah
134,135,negative," <USERNAME> oalaahhh,, semakin banyak aja pelakor ?? laki nya jg kegatelan, tp namanya laki ibarat kucing di ksh ikan jaer gratis ya kga nolak wkwkkwkw",oalaahhh pelakor laki jg kegatelan tp nama laki kucing ksh ikan jaer gratis kga nolak wkwkkwkw
135,136,negative,"Begitulah laki2 ya sis, lebih suka pecun2 murahan, daripada prempuan baik2 berjilbab ato pintar. Enji2, kok downgrade sih? Dari pedangdut naik kelas prempuan berjilbab ehh milih sama pecun lagi.. jeleknya seleramu",laki sis suka pecun murah prempuan jilbab ato pintar enji downgrade dangdut kelas prempuan jilbab ehh pecun jelek selera
136,137,negative,Motorninja aj songong amat mba org yg punya mobil lamborgini aj biasa wae kok ????????,motorninja aj songong org mobil lamborgini aj wae
137,138,negative,GoBlOk ?????? gua nonton berkali≤ kaget juga ??,goblok nonton kali kaget
138,139,negative,"Ga usa pake anjing, babi!! ?????? kalo gw bls gitu wkwk",ga usa pake anjing babi kalo gw bls wkwk
139,140,negative,Oh ini toh yang kemaren TIDAK MENGHARGAI KARYA ORANG DAN SEENAKNYA BILANG JELEK BANGET... Aduh itu penganten perempuan nya KEKENYANGAN yah... Ampe kembung gitu perut nya... #pepuraLuGU,oh kemaren harga karya orang bilang jelek aduh penganten perempuan kenyang yah ampe kembung perut pepuralugu
140,141,negative,"Dari awal percaya gimik Raffi gigi dn att...sehingga att peserta keluarga di hujad dn anak ny...di hujad ...semakin kesini penonton semakin di bodohin?? semakin publik tertuju mereka ??????yg kasihan para penghujad ....ga apa"" lah ayu ga ada di pesbukers biar dia ngeluarkn album"" baru single baru setelah para artis halan"" keluar nengri gimik"" apa lagi yoo",percaya gimik raffi gigi dn attsehingga att serta keluarga hujad dn anak nydi hujad kesini tonton bodohin publik kasihan penghujad ga ayu ga pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
141,142,negative,"Kalo bener gimmick, bodoh banget si ayu cuma demi rating n popularitas berani taruhin harga dirinya buat di nilai buruk oleh mata masyarakat ????",kalo bener gimmick bodoh ayu rating n popularitas berani taruhin harga nilai buruk mata masyarakat
142,143,negative,Susah otaknya diemvang mah bikin rusuh dilapak orang,susah otak diemvang bikin rusuh lapak orang
143,144,negative,najiiisss kayak si mba dese ga gitu ajaaa. hahahahaha maling teriak maling. ngaca buuuuuk,najiiisss kayak dese ga ajaaa hahahahaha maling teriak maling ngaca buuuuuk
144,145,negative, <USERNAME> IYAK KAA HAHAHAHAH geli bgt gasih sama att ih kampung abis:(((,iyak kaa hahahahah geli bgt gasih att ih kampung abis
145,146,negative,"JOGETNYA BIKIN NGAKAKKK ANJIRRRR, KAMPUNGAN BANGET??????  <USERNAME>  <USERNAME>",joget bikin ngakakkk anjirrrr kampung
146,147,negative,Bagus la gue berarti ada otak gak kayak lu malu maluin mak lu aja tong akun asli di pake tu yg namanya bego!  <USERNAME>,bagus la otak gak kayak lu malu maluin mak lu tong akun asli pake tu nama bego
147,148,negative,"Yg bego mah elu, ibu mana sih yg mau ngasih contoh buruk ke anaknya , pake mata lo, emg ada di dugem bawa anak , bego sih -_- jaman udah texas , dan gue jamin dijaman anaknya jga pasti udh lebih texas . Selagi ga ngerugiin lo yaudah . Sewot banget .",bego elu ngasih buruk anak pake mata lo emg dugem bawa anak bego jaman texas jamin jaman anak jga udh texas selagi ga ngerugiin lo yaudah sewot
148,149,negative,"Si wanita jahiliyah.. Lesbi , skrg udh py pacar lg. Kasian anaknya. Kmrn di ksh bencana slnya dia tega misahin anak dr bapak nya, dia ktakutan anak nya masuk islam pdhl bp nya g prnh nuntut anaknya memeluk islam. Udh di ksh nikmat anak 3 org, msh aja begajulan.",wanita jahiliyah lesbi skrg udh py pacar lg kasi anak kmrn ksh bencana slnya tega misahin anak dr bapak ktakutan anak masuk islam pdhl bp g prnh nuntut anak peluk islam udh ksh nikmat anak org msh begajulan
149,150,negative, <USERNAME> gw tanya. Emang kador artis beneran? Komen lo tolol sumpah. Masa harus kenal dia buat nilai dia artis atau bukan. Hahaha semua org indo jg pasti setuju kalo kador bukan artis tp cuma celebgram dr kampung. Lo tau kan bedanya artis dg selebgra,gw kador artis beneran komen lo tolol sumpah kenal nilai artis hahaha org indo jg tuju kalo kador artis tp celebgram dr kampung lo tau beda artis dg selebgra
150,151,negative, <USERNAME> hahahaaaa trs gue tanya. Lo tolol? PAke nanya kador bencong atau ngga padahal blm kenal wkwkwkwkw. Eh semua org jg bisa nilai si kador bencong beneran dr gerak gerik melambay suara ngondek dan pake baju cewek begitu nyaman. Mana ada cowok tu,hahahaaaa trs lo tolol pake kador bencong ngga blm kenal wkwkwkwkw eh org jg nilai kador bencong beneran dr gerak gerik melambay ngondek pake baju cewek nyaman cowok tu
151,152,negative," <USERNAME> maklumin shaaay... Fans gatis keras itu otaknya bebel, realita seperti apa jg ga bakalan dia terima... Seperti halnya nagita itu artis uda dr jaman dia kecil eh di bilang numpang tenar ke rapi mamad,pdhl kan yg jadiin si mamad gede y PH n",maklumin shaaay fans gatis keras otak bebel realita jg ga terima hal nagita artis uda dr jaman eh bilang numpang tenar rapi mamadpdhl jadiin mamad gede y ph n
152,153,negative, <USERNAME>.bee idih najong lu tag2 org! Nimbrung aja kek mujaer lo! Dia ga bakal terkenal klo ga bawa2 nama ayu ting ting sm nagita! Duh bego dipiara! Kesian,bee idih najong lu tag org nimbrung kek mujaer lo ga kenal klo ga bawa nama ayu ting ting sm nagita duh bego piara sian
153,154,negative,"langsung saja bilang siapa yg di maksud, klu gini namanya MUNAFIK!",langsung bilang maksud klu gin nama munafik
154,155,negative,"Jedar emg muka 2 kali, didepan baik, dibelakang busuk, mulutnya kek banci cucoklah 2 banci tu",jedar emg muka depan belakang busuk mulut kek banci cucoklah banci tu
155,156,negative,AMIT AMIT DEH ORANG JAHAT... PENJILAT PEMBOHONG PELAKOR JIJIK BANGET,amit amit deh orang jahat jilat bohong pelakor jijik
156,157,negative,"Wkwkwkwk... Ya Allah ya Tuhan ku knp lah org2 munafik ni tp sok suci, mulan jamela kan ayu ting2 ngikuti jejak a bukan? Wkwkwk  <USERNAME>",wkwkwkwk allah tuhan ku knp org munafik ni tp sok suci mulan jamela ayu ting ngikuti jejak a wkwkwk
157,158,negative,"Dlu si pelakor ini yg sombong krn brhasil dapetin si botak smpe mnceraikan bunda maya,skrg hdp ny mkin anjlok malah bunda maya yg sring jelong2 kluarnegri..??????",dlu pelakor sombong krn brhasil dapetin botak smpe mnceraikan bunda mayaskrg hdp ny mkin anjlok bunda maya sring jelong kluarnegri
158,159,negative,Hahhahaha dan sesungguhnya allah swt melaknat wanita perebut dan pezina dengan suami sah oranglain ????????,hahhahaha allah swt laknat wanita rebut zina suami sah oranglain
159,160,negative,"@w.lina2706 hemmmm capekmiskin sist, skrg blik kere lg jd artis jg g laku, dah lah karma tu pasti ada...  <USERNAME> dr pada sirik nyinyirin nyonya, tuh bantuin jualan cireng nya tuh, cilok nya tuh untunnya buat liburan monaco, jangan bromo trus",lina hemmmm capekmiskin sist skrg blik kere lg jd artis jg g laku dah karma tu dr sirik nyinyirin nyonya tuh bantuin jual cireng tuh cilok tuh untun libur monaco bromo trus
160,161,negative,Kepo juga sm nyonyiah lu jongos  <USERNAME> emng tetehlu pas hamil peak udeh dinikahin ?? Brojol anak br di sirih EMNG LONTEEEEE kelas akun jamahliur dan junjungan hehe ??????,kepo sm nyonyiah lu jongos emng tetehlu hamil peak udeh dinikahin brojol anak br sirih emng lonteeeee kelas akun jamahliur junjung hehe
161,162,negative,"Eh jongos cba gue duluan yg nanya sm lu .. emng nyonyiah ada gembar gembor udah nikah.. adakah nyonyiah ngaku udeh nikah ???? Dr pada tetehlu yg lonte perek itu tiba"" brojol dan ngaku nikah siri sm laki nyonyiah dan hamidun sapeak anak ilegal dibilng FITNA KEJI haha lonte menolak lupa xixix ??????  <USERNAME>",eh jongos cba duluan sm lu emng nyonyiah gembar gembor nikah ada nyonyiah ngaku udeh nikah dr tetehlu lonte perek brojol ngaku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji haha lonte tolak lupa xixix
162,163,negative," <USERNAME> sini gua jawab currr ya bunmai sdh pernah nikah Tp sekarang janda dia janda karena suami nya di rampas Mulan jameela,menjijikkan banget ya Mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang Dani suami bersama aduha udh wanita be",currr bunmai sdh nikah tp janda janda suami rampas mulan jameelamenjijikkan mulan jameela sblm rmh tangga bunmai hancur sdh berani bilang dan suami aduha udh wanita be
163,164,negative,"@w.lina2706  <USERNAME> lucu aja ya sist, lonte di bela2 mati2an... Guoblok di pelihara, di bayar berapa gt sama muljamban, sampe bikin account  <USERNAME> mau maia nikah atau blm nikah apa urusan situ, kelihatan nyinyirnya sirik nya. Sekarang balik",lina lucu sist lonte bela mati guoblok pelihara bayar gt muljamban sampe bikin account maia nikah blm nikah urus nyinyir sirik
164,165,negative,"Yaela muljem kyak stu bner aja. Gag inget apa udh ngrusak kbhagian klwrga org. Bego d prtahanin y gini ini,",yaela muljem kyak stu bner gag inget udh ngrusak kbhagian klwrga org bego d prtahanin y gin
165,166,negative,Banyak lakik doyan banci! Jadi banci & kawinin banci.... jijik!,lakik doyan banci banci kawinin banci jijik
166,167,negative," <USERNAME> itu comment yg tidak anda lihat, ada brp banyak. Jangan jadi pengguna medsos yg bodoh jangan asal bunyi. Situ sehat pakai hijab masi nyinyir aja??",comment lihat brp guna medsos bodoh bunyi sehat pakai hijab mas nyinyir
167,168,negative," <USERNAME> malu tuh sama kerudung kamu sayang, sama ibadah nya. Sholat aja drpd nyinyirin org dandanan udh sok suci mulut nya kaya sampah??",malu tuh kerudung sayang ibadah sholat drpd nyinyirin org dandan udh sok suci mulut kaya sampah
168,169,negative," <USERNAME> tolong di baca arti dr comment saya, udah kerdus+bodoh lg bilangin org tua nya besok kalo masak jangan pakai mecin, jd udah kerdungab ga sesuai mulut. Besok makan salmon kalo g mampu besok aku tak deliv ke rumahmu .",tolong baca arti dr comment kerdusbodoh lg bilangin org tua besok kalo masak pakai mecin jd kerdungab ga sesuai mulut besok makan salmon kalo g besok tak deliv rumah
169,170,negative,"Maaf mukanya jelek terus attitude nya buruk,,spesialis plagiat,,dan ketauan pula ,,,",maaf muka jelek attitude burukspesialis plagiatdan tau
170,171,negative,"ini orang otaknya ga pernah di sekolahin ya? itu resiko ketika udah upload sesuatu di sosmed, ya pasti bakal dapet perbincangan dari netizen. public figure kok ga ada otaknya.",orang otak ga sekolahin resiko upload sosmed dapet bincang netizen public figure ga otak
171,172,negative,Artis kampungan wkwk,artis kampung wkwk
172,173,negative,"Iyaaa gue pernah pacaran? Udah nikah malah, tapi gak seNORAK eloo.. Gak risih emang? Jgn asal aplod, Perhatiin followers lu yg lumayan banyak itu, tar kebawa norak.",iyaaa pacar nikah gak norak eloo gak risih jgn aplod perhatiin followers lu lumayan tar bawa norak
173,174,negative,y ampun pnyanyi dangdut kurang tenar songong bangt BACOTNYA ??pngn nyari sensasi tapi kmpungan bangt deh amit amit bool ko d instastory,y ampun pnyanyi dangdut tenar songong bangt bacot pngn nyari sensasi kmpungan bangt deh amit amit bool ko d instastory
174,175,negative,Waaaaoooo..sopan sekali.. bahasami menunjukkan kelasmu !!! Heeeehh.. yg repot ama hidup lu siapahh ?? Elu live nampilin hal2 gak penting..yg nggilanikk.. menjijikkan..diliat org banyak.. ya pantes lah dikomen..klo gak mw dikomen videoin pribadi aja.. nonton sendiri lu ama kluarga lu di rmh.. nambah lagi niy ertong yg gak pny attutude!! Kampungan!!,waaaaoooosopan bahasami kelas heeeehh repot ama hidup lu siapahh elu live nampilin hal gak pentingyg nggilanikk menjijikkandiliat org pantes dikomenklo gak mw dikomen videoin pribadi nonton lu ama kluarga lu rmh nambah niy ertong gak pny attutude kampung
175,176,negative,"Norak sih,kayak ga ada malunya.kl dia bilang terserah dia,ya udah,simpan fotonya.gak perlu dibagi kesemua orang.lah ini dipamer kemana,resikolah dinyinyiri orang.Insecure banget,kudu ya pamer2 gitu biar semua orang ngerti kl si mbaknya udh py pacar yg bisa dipamer2 pantatnya?Kampung bgt",norak sihkayak ga malunyakl bilang serah diaya udahsimpan fotonyagak bagi semua orang pamer kemanaresikolah nyinyir oranginsecure bangetkudu pamer biar orang ngerti kl mbak udh py pacar pamer pantatnyakampung bgt
176,177,negative,Koq marah sehhh???dasar wanita kampungan...??,koq marah sehhhdasar wanita kampung
177,178,negative,Kampungan.... Artis yg numpang tenar gara2 mukanya mirip Katy Perry doangÖ,kampung artis numpang tenar gara muka katy perry doang
178,179,negative,Susah kalo artis kampung,susah kalo artis kampung
179,180,negative,"Ah min, gue lama2 gak suka sama akun ini nih! Berita nya basi! Lo liat dong min.. itu si kellen sama amora lagi dateng.. pake ikut jingkrak2 kok!! Lo saring dulu dong min.. biar berita nya gak blunder.. lo posting juga tu KD udah posting videon kellen ma amora lagi joget2 ma si arsya arsyi!!",ah min gak suka akun nih berita basi lo liat min kellen amora dateng pake jingkrak lo saring min biar berita gak blunder lo posting tu kd posting videon kellen ma amora joget ma arsya arsyi
180,181,negative," <USERNAME> iya""km bening, kelewat bening jadi buluk kan ya mbak ?? mbaknya baru nelen apasih komen kaya gini? Apa baru kesurupan ?",iyakm bening lewat bening buluk mbak mbak nelen apasih komen kaya gin surup
181,182,negative,"kita sekeluarga sangat ngefans dan kagum lihat  <USERNAME> semua nya deh.tapi lihat anak nya yg jelek,buluk kan.  <USERNAME>.hermansyah  <USERNAME> kutuk kan apa yg menimpa bunda KD untung Allah swt sudah menggantikan amora dan adik nya.gemezzzzzzz lihat nya cocok banget jadi Anak artis se class bunda KD ??????",keluarga ngefans kagum lihat dehtapi lihat anak jelekbuluk hermansyah kutuk timpa bunda kd untung allah swt ganti amora adik nyagemezzzzzzz lihat cocok anak artis class bunda kd
182,183,negative,Emang dasar si anak nya aja yg lebay....urusan pribadi di umbar..biar di blow up... hadehh..gunanya whatsapp sms or telp buat apa..suka aneh....,dasar anak lebayurusan pribadi umbarbiar blow up hadehhgunanya whatsapp sms or telp apasuka aneh
183,184,negative,"Coba liat bibir mu sayang, seperti pantat ayam. Wajah mu bulukan seperti kentut?? perfectoooo?",coba liat bibir mu sayang pantat ayam wajah mu buluk kentut perfectoooo
184,185,negative,Gagal fokus dengar suaranya.. koq jengkel ya dengernya... sorry cuman manusia biasa kalo jengkel????,gagal fokus dengar suara koq jengkel dengernya sorry cuman manusia kalo jengkel
185,186,negative,"Muljem ngomong gak jelas blepotan, gak nyadar mau idup enak aja pake rebut laki orang dulu",muljem ngomong gak blepot gak nyadar idup enak pake rebut laki orang
186,187,negative,??lucu ya si yg bikin kata2.bawa2 Tuhan.kalau dah kepepet. Masa dia ga tau ibarat apa org yg merusak rumah tangga org.ibarat merobohkan bangunan masjid mbak nya.bayangin aja seberapa besar nya dosa mu.nasi dah jdi bubur mba nya moga bisa bahagia di dunia.??,lucu bikin katabawa tuhankalau dah pepet ga tau org rusak rumah tangga orgibarat roboh bangun masjid mbak nyabayangin besar dosa munasi dah jdi bubur moga bahagia dunia
187,188,negative,Iyah bener. Tidak Akan merubah pandangan Tuhan terhadap Kita. Terutama elu Setan!! Makanya mikirrrr.. suami majikan kok diembat!!,iyah bener rubah pandang tuhan elu setan mikirrrr suami majikan embat
188,189,negative,Gilingan mulan jalang lg kasih ceramah. Hahahaha . dasar cireng gak tau diri gak pernah ngaca. Si cireng lg ceramah sok2 kyk pahlawan kesiangan biar bisa berteman ama sekuter kyk selpii ini.,giling mulan jalang lg kasih ceramah hahahaha dasar cireng gak tau gak ngaca cireng lg ceramah sok kyk pahlawan siang biar teman ama sekuter kyk selpii
189,190,negative,"Ya pandangan Tuhan terhadap lo juga jelek sih gue rasa, dikira perebut suami orang tuh mulia apa dimata Tuhan?????????",pandang tuhan lo jelek rebut suami orang tuh mulia mata tuhan
190,191,negative,"Karna sejatinya kau adalah setan berwujud manusia ,,karna pekerjaan setan ya menggoda manusia ????",karna setan wujud manusia karna kerja setan goda manusia
191,192,negative,Pernah ngga mba  <USERNAME> baca ada netizen yg nyesel ga bs nimpuk telor ke si mulan..gw aja ketawa bacanya krn terwakili. Ya ngapain buang2 wktu ketemu orang gak mutu dng si mulan...msh untung nyempet2in bs nuli? disini biar nyadar tuh pelakor ga punya harga diri. Mending ketemu org baik2 spt bunmai...ketularan aura positifnya.,ngga baca netizen nyesel ga bs nimpuk telor mulangw ketawa baca krn wakil ngapain buang wktu ketemu orang gak mutu dng mulanmsh untung nyempetin bs nuli biar nyadar tuh pelakor ga harga mending ketemu org spt bunmaiketularan aura positif
192,193,negative,Editanx paraaaahh...oplas aj laaah nyai drpd ngedit2 gn hahaa kn maluuu,editanx paraaaahhoplas aj laaah nyai drpd ngedit gn hahaa kn maluuu
193,194,negative,"jelek,lecek,bantet ??????",jeleklecekbantet
194,195,negative,Gini amat pengen tenar ya ampuuun...malu kalo jadi anaknya yah kasian,gin tenar ampuuunmalu kalo anak yah kasi
195,196,negative,"Heran gw mak  <USERNAME> knp dia masih aja di pake ma AN*V di pesbu**r. Kasus ny bederet, skandal bertubi2.... Gk ada malu ny ?? muka tembok ?? sangat gak ada faedah ny nonton acara yg ada si manusia kardus ini ??",heran gw mak knp pake ma anv pesbur ny bederet skandal tubi gk malu ny muka tembok gak faedah ny nonton acara manusia kardus
196,197,negative,"wey org goblok juga bisa bedain vape, shisha sm rokok. jelas jelas lo ngerokok pake acara ga ngaku segala",wey org goblok bedain vape shisha sm rokok lo ngerokok pake acara ga ngaku
197,198,negative,Jijik saya liatnya...kaya ulet bulu kluget2 gitu...hihihi..ampe sgitunya pengen terkenal...!!,jijik liatnyakaya ulet bulu kluget gituhihihiampe sgitunya kenal
198,199,negative,Jablay anjir mukanya... Murahan bangetttt najisss,jablay anjir muka murah bangetttt najisss
